genre,id,name,artist,cluster
rock uruguayo,6H4x2MIySKNhrXdLkLJvcy,Fallaste Nostradamus,El Cuarteto De Nos,2
rock uruguayo,5wjFUjiT4gKddiTX9urqN2,Contrapunto para Humano y Computadora,El Cuarteto De Nos,2
cantautor,43HJPKlwZ5jRrMnMfLcQ2T,El Perro Freddy,El Niño de la Hipoteca,2
punk urbano,0VQW5MJ1BP3FntQ9IzFBNM,Actitud,Gritando en Silencio,6
indie extremena,1FKKvyrgMdJFwf0NdM7P5Q,Cerca del suelo,Extremoduro,7
rap metal espanol,2v7exGU90YFXvlxUJ9dFvQ,Cristales Rotos,Sons of Aguirre,2
ska espanol,7CXXzq7SIdH3I4L8m5P5h2,Solo Quiero de Ti,La Raíz,2
rock uruguayo,5hXCTV8OCsNak8OVry7yzM,Bugambilia,Nasa Histoires,2
indie extremena,5WWxj79hWjVq0wIBDCIw7T,Primer movimiento: Después de la catarsis,Robe,7
rock uruguayo,5wNZtFOmq64IAq7tKkIv8d,Gaucho Power,El Cuarteto De Nos,2
rap conciencia,0IfDzKy3k1t6OlfR1Zbo1B,"Ven, Pasa",ZPU,2
latin hip hop,689o09PSSPw3BxnZHk2hNC,Quien Manda,Mala Rodríguez,4
rock uruguayo,0j5u5RCr7LV4weyJdxkgR6,Nombres,El Cuarteto De Nos,2
classic russian rock,3NHSz1GyC5IeK1soZSjIIX,ИСКАЛА,Zemfira,2
alternative rock,6NFVDhRQpIueOxYuw5vQlz,Burning Down the House,Talking Heads,2
eurodance,6E0QvksY8P840Sg2kzPUoy,Scatman & Hatman,Scatman John,2
eurodance,6dugx9WBSS8TDxbKqp9zmj,Scatman's World,Scatman John,2
alternative metal,0jqK7sGTLsHPkQrrcrGuKD,Still Waiting,Sum 41,2
argentine rock,5s8onl5Lw5q1AijP5BUm7G,La mano de Dios (Homenaje a Diego Maradona),Rodrigo,2
lo-fi vgm,3hdQekpCI2L2j15XwIG2Bd,Kass' Theme,Mikel,9
anime lo-fi,2UpDlIw9aI9gK0GphKQjZ8,SAD! ~ lofi,Closed on Sunday,9
indie extremena,6byvMlUkFmNZIl8aprXRhL,Cuarto movimiento: Yo no soy el dueño de mis emociones,Robe,7
indie extremena,63Zg2q0NxOIoVu7olYHl9t,Segundo movimiento: Mierda de filosofía,Robe,7
rock uruguayo,7DVhr2t5x2GLwhU3yFS3p1,Rapp Snitch Knishes (Live Instrumental) - Cover,OMA,2
rock uruguayo,6q6YaZyb5MDaPofi60yeew,Furret Walk 8-Bit (Accumula Town),Henriko 8-Bit,2
rap galego,7f1MocyOZrNKWgHKfyRHbo,Bailar morghulis,Día Sexto,2
rap galego,4zF2MQued46ZoyOm8YQpyw,Más,Día Sexto,2
reggae catala,2NK6Gq7j1plxRtAyYKdoKp,Rua Na Selva,Nativa,5
anime score,0HDh5QaLfCwi2xyvkei917,Sis puella magica!,梶浦 由記,10
argentine rock,29iIRrSuANyjnwag69PHOJ,Demoliendo Hoteles,Charly García,2
argentine rock,34BMzIFvpIgacpqUvuNpOT,Maldición,Once Tiros,2
musique militaire,6zI4eWfBKdujnnLmXTIHqJ,Моя любимая,The Red Army Choir,2
classic schlager,31wVu1EYhWOFCECXTqLWQ4,Moskau,Dschinghis Khan,2
rock uruguayo,2ltWiec0N2xBIu5Hvi5uM4,The Less I Know the Sexy Back,Gold Slides,2
trap argentino,1DxEbt6OSbrkRthk6pjZue,MERCHO,LiL CaKe,2
rock uruguayo,3RRb7m7zpenaWk4wyqcnm3,"Yes, the Music Is a Feeling",your best friend jippy,2
lo-fi vgm,1kAg9rfHsyoYLEi7GxA4nM,Tal Tal Heights,Mikel,9
indie arequipeno,4imCqtH8ZVmovPcozJKIom,Mamá No Me Quiero Casar,XDinero,7
spanish indie pop,78CVgSm8s9pfpwCqvqzEYB,PRMVR,La Maravillosa Orquesta del Alcohol,2
mestissatge,1DtrlY4mOFrtuqgMYjXVJL,Rituales de Santería,ZOO,2
spanish indie pop,0fZgVsd0Bk64cAUOcUnQ0X,Vasos Vacíos,La Maravillosa Orquesta del Alcohol,2
lo-fi vgm,0c4KyvtJPmHd5mnXYE5QnZ,Song of Storms,Mikel,9
chilean rock,2kRGvesjW6DsXPfSrhjYVp,Mateo,Tronic,2
rock uruguayo,4JkQU5XnvMu7WroV5QEZa6,Bipolar,El Cuarteto De Nos,2
latin alternative,270ieNCOt945nOdUQubFI5,Para No Verme Más,La Vela Puerca,1
argentine rock,5i9BN55sSR94Lfdes8seDp,Nos dijimos todo,Once Tiros,2
argentine rock,34CKJs7AevJpbrE53OFJwO,Lacanao,Once Tiros,2
rap conciencia,2Lo6jY6P6iiGMOfkx5N5Kt,Un Nuevo Yo Despierta,El Chojin,2
