genre,id,name,artist,cluster
rap underground espanol,2XXP73OwM2WvZ2vcXAIDz3,El Lado Oscuro del Corazon,Costa,1
baroque pop,1W0OCrMsRP1SLTEdw3JwEz,"Sweet Dreams, TN",The Last Shadow Puppets,1
boom bap espanol,1T0kkgPuLxpEnIXV1NXGFf,Esta To Guapo,Rapsusklei,1
boom bap espanol,5AIwfXYjGkWCs4KeeTk2Rq,Cantando,Violadores Del Verso,1
classic soundtrack,4OWa2dOlmtvMDhFrFL0QA1,"La leçon particulière - Bande originale du film ""La leçon particulière""",Francis Lai,1
funk mtg,1Sz402s2SN6nPicOA8DPah,Saka Saka Saka,MC Mazzie,1
argentine rock,7EZvohNWHJ6W3sDOEeBsoU,Tu postura,Once Tiros,1
galician rock,6Wv1yv5O9ZfzCdwEhuk31r,En Compostela,Dakidarria,1
ska espanol,3MbNnqa8NahIrBdKRW2sX6,Por Amar al Arte,La Regadera,1
rock uruguayo,6lSypaQOcC6JtzfwpINLGW,El hijo de Hernández,El Cuarteto De Nos,1
eurodance,7yCF65vpc7sUwPjftI0iFb,Happy Nation,Ace of Base,1
latin hip hop,4BxzNZpcm1j3JczZzGNe2k,Bandoleros,Don Omar,0
soul jazz,5fdNHVZHbWB1AaXk4RBGVD,Just the Two of Us,"Grover Washington, Jr.",1
bedroom pop,6FfLg6FFqhCsrFOaHIGkg0,Honeypie,JAWNY,1
indietronica,2flxduIqEbsicdmPyj1WVW,Imagination,Foster The People,1
salsa,1hiZqVgSKeVPJAjUKgJZMm,Aguanile,Héctor Lavoe,1
cantautor,05ascW5kZSLsGM7sdr9Eot,Lodo,Xoel López,1
cantautor,0pyT9W877RcYtVdl1ZmlvQ,Valiente,Vetusta Morla,1
cantautor,4bZEZhCq2kqUxnMacXVl5x,Copenhague,Vetusta Morla,1
cantautor,1ozbWlTQASs311dSO5R6vp,Lucha De Gigantes,Love of Lesbian,1
venezuelan hip hop,0kc4G5tEdtmTB0w3gYmb01,Desencuentro (feat. Soko),Residente,0
cantautor,569wwTXGm6Ujk1HeJjH6fj,Girasoles,Rozalén,1
cantautor,0n2lJjskWdFCvLI3ExAGha,Vivir (with Estopa),Rozalén,1
australian psych,6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Tame Impala,1
album rock,3TO7bbrUKrOSPGRTB5MeCz,Time,Pink Floyd,1
rock uruguayo,2U3rA2iYYrTFEeQg4u9S4b,Poema de los Dones,Jorge Luis Borges,1
rock uruguayo,08THvDquCuP6yqDo5g5JLe,Chivo Expiatorio - En Vivo,El Cuarteto De Nos,1
dance pop,1vvNmPOiUuyCbgWmtc6yfm,My Way,Calvin Harris,1
edm,6h5PAsRni4IRlxWr6uDPTP,More Than You Know,Axwell /\ Ingrosso,1
dance pop,7mitXLIMCflkhZiD34uEQI,Party Rock Anthem,LMFAO,1
swedish pop,5MhsZlmKJG6X5kTHkdwC4B,I'm an Albatraoz,AronChupa,1
electro,2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,1
trap triste,7ydVhVEl4cRGEAhxo7X5Ic,Pana Miguel,Keyan JRN,1
ambient lo-fi,1FCsK0oKWCtDOYRPYSrYgO,Idea 22,Gibran Alcocer,1
album rock,63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",The Rolling Stones,1
chilean rock,6ftHPJyEHGqMaml3ZEwPm1,Llueve Sobre La Ciudad,Los Bunkers,1
trap argentino,6b4ioB9n5Hkeu2GdSOWzJJ,C90 (Remix),John C,1
salsa,3kNQh1pLaQbZZoh6GDzHGp,Me Tengo Que Ir,Adolescent's Orquesta,1
salsa,1r2EerxDMVQbXxqsqnjUhy,Que Locura Enamorarme De Ti,Eddie Santiago,1
salsa,26ucR33snMkRD6JExhoD6I,Una Aventura,Grupo Niche,1
salsa,4ubwzNjqHGaZZ5k06PDx1H,Sin Sentimientos,Grupo Niche,1
salsa,5XWfwjzFNl2pTB737fx7qr,El Gran Varón,Willie Colón,1
salsa,3fRIuTih8bzc0vtY9fHhvF,Talento De Televisión,Willie Colón,1
latin alternative,1nquycJ4zLhrT23rwtH5Wj,Vía Láctea,Zoé,1
cantautora mexicana,100Tm6z29RfHTdUQ6NIs0s,Me Voy,Julieta Venegas,1
indie triste,75ncCwXqalTnnl6t1ruQRq,Dueles Tan Bien,Bruses,1
salsa,5xxR1xl7tiFlITtxzsuow0,La Rueda,Frankie Ruiz,1
classic peruvian pop,3Pme6ghMt2iCDy4V2SqWPx,Cariño Malo,Los Kipus,1
