Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1wLYrmTo3HtsoTzfQnRZUY,"0D5U7oXEE4dut2DPyUDLca","Ojos de Dragón!","Desafíos","Las Pastillas del Abuelo",2011,257600,24,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"argentine rock",0.689,0.586,2,-6.302,0,0.0565,0.115,0,0.105,0.515,141.952,4
7AVpYzzLEQeMoeSq190Ncy,"13JJKrUewC1CJYmIDXQNoH","Fiesta en lo del Dr. Hermes","Lámina Once","El Cuarteto De Nos",2022-07-08,255880,47,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.523,0.754,2,-5.922,0,0.0442,0.11,0,0.094,0.509,80.84,4
4MPwBYidOWnwpKlqQYJEzX,"6nVcjUJemqpJjc1WevwTvL","Va A Escampar","A Contraluz","La Vela Puerca",2004-01-01,281533,60,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"latin alternative,reggae uruguayo,rock en espanol,rock uruguayo",0.616,0.737,9,-5.103,0,0.029,0.0135,0.0000425,0.154,0.339,124,4
2wVk026aPEMxofNQvBIr8n,"2eEmsgWmUFMbtU7agJpnjY,2pMVWkucVS130nJx59uAEa","Me Gustas Tanto (feat. Sidonie)","Souvenir","Miranda!,Sidonie",2021-05-07,220967,46,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol,spanish indie pop,spanish modern rock",0.748,0.885,0,-6.378,1,0.0349,0.000857,0.139,0.0745,0.961,127.011,4
0QUWDjKdItXClpaDbeaTAf,"3Ces1OJeGOVGcUB0wPaPXJ","Quien Manda","MUJERES AL PODER","Mala Rodríguez",2020-01-31,167053,0,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"latin hip hop,rap latina",0.685,0.633,6,-3.921,1,0.211,0.0675,0.00000305,0.0656,0.518,174.151,4
5lsQpCUKFaqaBGUAl9rZPR,"3Znu3IpegNZzamLA9vRsE0","Cum Laude","Esto No Es un Disco Vol.1","El Niño de la Hipoteca",2019-05-24,210239,35,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"cantautor,spanish rock",0.666,0.829,2,-5.463,1,0.0587,0.206,0,0.193,0.575,147.979,4
2a7UjwEFKZcmwxglvwpBb3,"13JJKrUewC1CJYmIDXQNoH","Invierno del 92","Raro","El Cuarteto De Nos",2006-04-12,240551,62,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.601,0.882,7,-5.191,1,0.0262,0.011,0,0.0963,0.696,105.022,4
1ozuMsJLTvFIMvlW7AWq95,"13JJKrUewC1CJYmIDXQNoH","Ya No Sé Que Hacer Conmigo","Raro","El Cuarteto De Nos",2006-04-12,241501,65,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.676,0.785,11,-5.39,0,0.0293,0.119,0,0.134,0.502,102.046,4
3tUk2PzTp8KCIU4cxstJq1,"13JJKrUewC1CJYmIDXQNoH","Yendo a la Casa de Damián","Raro","El Cuarteto De Nos",2006-04-12,254106,64,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.661,0.75,9,-5.816,0,0.0402,0.0614,0,0.267,0.524,105.984,4
5U4l5prXjPGv5fnP8nZ3kK,"13JJKrUewC1CJYmIDXQNoH","Hoy Estoy Raro","Raro","El Cuarteto De Nos",2006-04-12,280573,53,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.691,0.81,11,-6.373,0,0.0284,0.0324,0,0.148,0.455,102.038,4
0ePp0z6IzzKip3DQVw2S5Z,"13JJKrUewC1CJYmIDXQNoH","Todos pasan por mi rancho","Porfiado","El Cuarteto De Nos",2012-04-27,308893,46,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.513,0.786,4,-5.995,0,0.033,0.262,0,0.0923,0.29,84.908,4
0m29Kyrm8caxQ22r1rZ4wn,"13JJKrUewC1CJYmIDXQNoH","El balcón de Paul","Porfiado","El Cuarteto De Nos",2012-04-27,234106,49,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.695,0.933,10,-3.244,1,0.0306,0.0319,0,0.369,0.854,134.024,4
35LdDKNMwvKftENaj1WIwF,"13JJKrUewC1CJYmIDXQNoH","Enamorado tuyo","Porfiado","El Cuarteto De Nos",2012-04-27,259680,72,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.611,0.826,1,-3.906,0,0.0234,0.00239,0.000224,0.182,0.666,95.995,4
